Class,Genus,Species,Common_name,Mass_kg,Max_longevity_yr,Data_quality,Specimen_origin,Mass_source,Longevity_source,Scientific_name,log10M,log10T,bin2
Aves,Lalage,leucomela,Varied triller,0.02945,4.8,acceptable,wild,AnAge,AnAge,Lalage leucomela,-1.5309147008768795,0.6812412373755872,-2
Aves,Lalage,tricolor,White-winged triller,0.0255,3.1,acceptable,wild,AnAge,AnAge,Lalage tricolor,-1.5934598195660448,0.4913616938342727,-2
Aves,Cardinalis,cardinalis,Northern cardinal,0.0426,28.5,acceptable,unknown,AnAge,AnAge,Cardinalis cardinalis,-1.3705904008972811,1.4548448600085102,-2
Aves,Cyanocompsa,parellina,Blue bunting,0.0157,10.8,acceptable,wild,AnAge,AnAge,Cyanocompsa parellina,-1.8041003475907664,1.0334237554869496,-2
Aves,Passerina,amoena,Lazuli bunting,0.01515,9.9,acceptable,wild,AnAge,AnAge,Passerina amoena,-1.8195873671616762,0.9956351945975499,-2
Aves,Passerina,caerulea,Blue grosbeak,0.0283999999999999,10.2,acceptable,wild,AnAge,AnAge,Passerina caerulea,-1.5466816599529638,1.0086001717619175,-2
Aves,Passerina,ciris,Painted bunting,0.01475,12.0,acceptable,unknown,AnAge,AnAge,Passerina ciris,-1.8312079796858183,1.0791812460476249,-2
Aves,Passerina,cyanea,Indigo bunting,0.015,11.0,acceptable,wild,AnAge,AnAge,Passerina cyanea,-1.8239087409443189,1.041392685158225,-2
Aves,Pheucticus,ludovicianus,Rose-breasted grosbeak,0.047325,24.0,acceptable,unknown,AnAge,AnAge,Pheucticus ludovicianus,-1.3249093773641656,1.380211241711606,-2
Aves,Pheucticus,melanocephalus,Black-headed grosbeak,0.042,25.0,acceptable,captivity,AnAge,AnAge,Pheucticus melanocephalus,-1.3767507096020994,1.3979400086720377,-2
Aves,Piranga,ludoviciana,Western tanager,0.03,15.3,acceptable,unknown,AnAge,AnAge,Piranga ludoviciana,-1.5228787452803376,1.1846914308175989,-2
Aves,Piranga,olivacea,Scarlet tanager,0.029,11.9,acceptable,wild,AnAge,AnAge,Piranga olivacea,-1.537602002101044,1.0755469613925308,-2
Aves,Piranga,rubra,Summer tanager,0.04,7.9,acceptable,wild,AnAge,AnAge,Piranga rubra,-1.3979400086720375,0.8976270912904414,-2
Aves,Spiza,americana,Dickcissel,0.033,4.8,acceptable,wild,AnAge,AnAge,Spiza americana,-1.4814860601221125,0.6812412373755872,-2
Aves,Certhia,familiaris,Eurasian treecreeper,0.0091,8.2,acceptable,wild,AnAge,AnAge,Certhia familiaris,-2.040958607678906,0.9138138523837167,-4
Aves,Cettia,cetti,Cetti's warbler,0.0133,9.3,acceptable,wild,AnAge,AnAge,Cettia cetti,-1.8761483590329142,0.9684829485539351,-2
Aves,Cinclus,cinclus,White-throated dipper,0.0617,10.6,acceptable,wild,AnAge,AnAge,Cinclus cinclus,-1.2097148359667584,1.0253058652647702,-2
Aves,Cinclus,mexicanus,American dipper,0.0502,8.1,acceptable,wild,AnAge,AnAge,Cinclus mexicanus,-1.2992962828549806,0.9084850188786497,-2
Aves,Cisticola,exilis,Golden-headed cisticola,0.007325,3.6,acceptable,wild,AnAge,AnAge,Cisticola exilis,-2.135192370973853,0.5563025007672873,-4
Aves,Climacteris,erythrops,Red-browed treecreeper,0.0233,8.2,acceptable,wild,AnAge,AnAge,Climacteris erythrops,-1.632644078973981,0.9138138523837167,-2
Aves,Climacteris,picumnus,Brown treecreeper,0.0294,13.9,acceptable,wild,AnAge,AnAge,Climacteris picumnus,-1.5316526695878427,1.1430148002540952,-2
Aves,Corcorax,melanoramphos,White-winged chough,0.364,17.6,acceptable,wild,AnAge,AnAge,Corcorax melanoramphos,-0.438898616350944,1.24551266781415,-2
Aves,Struthidea,cinerea,Apostlebird,0.132,25.0,acceptable,captivity,AnAge,AnAge,Struthidea cinerea,-0.8794260687941502,1.3979400086720377,-2
Aves,Aphelocoma,californica,Western scrub jay,0.0887,15.8,acceptable,wild,AnAge,AnAge,Aphelocoma californica,-1.0520763801682735,1.1986570869544226,-2
Aves,Aphelocoma,coerulescens,Scrub jay,0.0787,15.0,acceptable,wild,AnAge,AnAge,Aphelocoma coerulescens,-1.1040252676409354,1.1760912590556813,-2
Aves,Aphelocoma,insularis,Island scrub jay,0.114,15.3,acceptable,wild,AnAge,AnAge,Aphelocoma insularis,-0.9430951486635274,1.1846914308175989,-2
Aves,Aphelocoma,ultramarina,Mexican jay,0.13,25.0,acceptable,captivity,AnAge,AnAge,Aphelocoma ultramarina,-0.8860566476931632,1.3979400086720377,-2
Aves,Coloeus,monedula,"Eurasian crow, or Eurasian jackdaw",0.246,20.3,acceptable,wild,AnAge,AnAge,Coloeus monedula,-0.6090648928966209,1.307496037913213,-2
Aves,Corvus,bennetti,Little crow,0.39625,16.4,acceptable,wild,AnAge,AnAge,Corvus bennetti,-0.4020307247741921,1.2148438480476977,-2
Aves,Corvus,brachyrhynchos,American crow,0.3848,20.0,acceptable,unknown,AnAge,AnAge,Corvus brachyrhynchos,-0.41476493663422465,1.3010299956639813,-2
Aves,Corvus,caurinus,Northwestern crow,0.294,16.7,acceptable,wild,AnAge,AnAge,Corvus caurinus,-0.5316526695878427,1.2227164711475833,-2
Aves,Corvus,corax,Common raven,1.0412,69.0,acceptable,captivity,AnAge,AnAge,Corvus corax,0.01753415943719808,1.8388490907372552,0
Aves,Corvus,cornix,Hooded crow,0.5445,16.8,acceptable,captivity,AnAge,AnAge,Corvus cornix,-0.26400211590820627,1.2253092817258628,-2
Aves,Corvus,corone,Carrion crow,0.4727,19.2,acceptable,wild,AnAge,AnAge,Corvus corone,-0.3254143976970861,1.2833012287035497,-2
Aves,Corvus,coronoides,Australian raven,0.645,22.5,acceptable,wild,AnAge,AnAge,Corvus coronoides,-0.1904402853647322,1.3521825181113625,-2
Aves,Corvus,cryptoleucus,Chihuahuan raven,0.534,21.8,acceptable,wild,AnAge,AnAge,Corvus cryptoleucus,-0.2724587429714435,1.3384564936046048,-2
Aves,Corvus,frugilegus,Rook,0.4535,23.8,acceptable,wild,AnAge,AnAge,Corvus frugilegus,-0.3434227086038859,1.376576957056512,-2
Aves,Corvus,hawaiiensis,Hawaiian crow,0.52,25.0,acceptable,wild,AnAge,AnAge,Corvus hawaiiensis,-0.2839966563652008,1.3979400086720377,-2
Aves,Corvus,mellori,Little raven,0.53675,19.8,acceptable,wild,AnAge,AnAge,Corvus mellori,-0.27022794689171376,1.2966651902615312,-2
Aves,Corvus,ossifragus,Fish crow,0.418,14.5,acceptable,wild,AnAge,AnAge,Corvus ossifragus,-0.37882371822496486,1.1613680022349748,-2
Aves,Cyanocitta,cristata,Blue jay,0.0808,26.2,acceptable,captivity,AnAge,AnAge,Cyanocitta cristata,-1.0925886392254138,1.4183012913197455,-2
Aves,Cyanocitta,stelleri,Steller's jay,0.0991,16.1,acceptable,wild,AnAge,AnAge,Cyanocitta stelleri,-1.0039263455147247,1.2068258760318498,-2
Aves,Cyanocorax,caeruleus,Azure jay,0.272,36.0,acceptable,captivity,AnAge,AnAge,Cyanocorax caeruleus,-0.5654310959658013,1.5563025007672873,-2
Aves,Garrulus,glandarius,Eurasian jay,0.1596999999999999,17.9,acceptable,wild,AnAge,AnAge,Garrulus glandarius,-0.7966950838615173,1.252853030979893,-2
Aves,Gymnorhinus,cyanocephalus,Pinyon jay,0.105,14.6,acceptable,wild,AnAge,AnAge,Gymnorhinus cyanocephalus,-0.978810700930062,1.1643528557844371,-2
Aves,Nucifraga,caryocatactes,Spotted nutcracker,0.183,19.9,acceptable,wild,AnAge,AnAge,Nucifraga caryocatactes,-0.7375489102695705,1.2988530764097066,-2
Aves,Nucifraga,columbiana,Clark's nutcracker,0.13,17.4,acceptable,wild,AnAge,AnAge,Nucifraga columbiana,-0.8860566476931632,1.2405492482825997,-2
Aves,Perisoreus,canadensis,Gray jay,0.0703,19.2,acceptable,wild,AnAge,AnAge,Perisoreus canadensis,-1.1530446749801762,1.2833012287035497,-2
Aves,Perisoreus,infaustus,Siberian jay,0.0844,17.9,acceptable,wild,AnAge,AnAge,Perisoreus infaustus,-1.0736575533743449,1.252853030979893,-2
Aves,Pica,hudsonia,Black-billed magpie,0.177,20.0,acceptable,captivity,AnAge,AnAge,Pica hudsonia,-0.7520267336381934,1.3010299956639813,-2
Aves,Pica,pica,Eurasian magpie,0.178,21.7,acceptable,wild,AnAge,AnAge,Pica pica,-0.7495799976911061,1.3364597338485296,-2
Aves,Pyrrhocorax,graculus,Alpine chough,0.2115,24.4,acceptable,wild,AnAge,AnAge,Pyrrhocorax graculus,-0.6746896282889389,1.3873898263387294,-2
Aves,Pyrrhocorax,pyrrhocorax,Red-billed chough,0.2778,20.3,acceptable,captivity,AnAge,AnAge,Pyrrhocorax pyrrhocorax,-0.5562677585984033,1.307496037913213,-2
Aves,Rupicola,rupicola,Guianan cock-of-the-rock,0.195,7.0,acceptable,captivity,AnAge,AnAge,Rupicola rupicola,-0.7099653886374819,0.8450980400142568,-2
Aves,Cracticus,nigrogularis,Pied butcherbird,0.12665,22.2,acceptable,wild,AnAge,AnAge,Cracticus nigrogularis,-0.8973948058734331,1.3463529744506386,-2
Aves,Cracticus,torquatus,Grey butcherbird,0.080675,20.2,acceptable,wild,AnAge,AnAge,Cracticus torquatus,-1.0932610259240574,1.3053513694466237,-2
Aves,Strepera,fuliginosa,Black currawong,0.343,24.0,acceptable,wild,AnAge,AnAge,Strepera fuliginosa,-0.46470587995722945,1.380211241711606,-2
Aves,Strepera,graculina,Pied currawong,0.2835,24.2,acceptable,wild,AnAge,AnAge,Strepera graculina,-0.5474469367710747,1.3838153659804313,-2
Aves,Strepera,versicolor,Grey currawong,0.4,19.6,acceptable,wild,AnAge,AnAge,Strepera versicolor,-0.3979400086720376,1.2922560713564761,-2
Aves,Dasyornis,brachypterus,Eastern bristlebird,0.0415,4.8,acceptable,wild,AnAge,AnAge,Dasyornis brachypterus,-1.3819519032879073,0.6812412373755872,-2
Aves,Dicaeum,hirundinaceum,Mistletoebird,0.0088,9.7,acceptable,wild,AnAge,AnAge,Dicaeum hirundinaceum,-2.0555173278498313,0.9867717342662448,-4
Aves,Dicrurus,bracteatus,Spangled drongo,0.08225,7.9,acceptable,wild,AnAge,AnAge,Dicrurus bracteatus,-1.084864093377988,0.8976270912904414,-2
