HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Adult_weight_g,Adult_weight_g,Mass_kg,Max_longevity_yr,Max_longevity_yr,log10M,log10T,Specimen origin,Data quality,Source,Mass_source,Longevity_source,Backfill_note
00280,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,atratus,Black vulture,2270,2270.0,2.27,25.5,25.5,0.35602585719312274,1.4065401804339552,wild,acceptable,576,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00281,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Gymnogyps,californianus,California condor,11175,11175.0,11.175,45,45.0,1.0482475318039741,1.6532125137753437,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00282,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Sarcoramphus,papa,King vulture,3405,3405.0,3.405,40,40.0,0.532117116248804,1.6020599913279625,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00283,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Vultur,gryphus,Andean condor,10500,10500.0,10.5,79,79.0,1.021189299069938,1.8976270912904414,captivity,acceptable,855,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00284,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,cristatus,Eastern osprey,1527.5,1527.5,1.5275,21,21.0,0.18398121891459188,1.3222192947339193,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00285,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,haliaetus,Osprey,1362,1362.0,1.362,32,32.0,0.13417710757676637,1.505149978319906,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00287,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,sponsa,Wood duck,452.8,452.8,0.45280000000000004,22.5,22.5,-0.34409358181978494,1.3521825181113625,wild,acceptable,577,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00288,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,aegyptiaca,Egyptian goose,1900,1900.0,1.9,25.5,25.5,0.2787536009528289,1.4065401804339552,captivity,acceptable,575,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00289,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,acuta,Northern pintail,721,721.0,0.721,27.4,27.4,-0.14206473528057098,1.437750562820388,wild,acceptable,450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00290,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,americana,American wigeon,793.8,793.8,0.7938,21.3,21.3,-0.10028890542885542,1.3283796034387378,wild,acceptable,576,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00293,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,clypeata,Northern shoveler,613,613.0,0.613,22.6,22.6,-0.21253952548158495,1.354108439147401,wild,acceptable,553,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00294,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,crecca,Green-winged teal,343.8,343.8,0.3438,27.1,27.1,-0.4636941276489664,1.4329692908744058,wild,acceptable,450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00295,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,cyanoptera,Cinnamon teal,411,411.0,0.411,12.9,12.9,-0.38615817812393083,1.110589710299249,wild,acceptable,576,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00296,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,discors,Blue-winged teal,420,420.0,0.42,23.2,23.2,-0.37675070960209955,1.3654879848908996,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00297,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,fulvigula,Mottled duck,950,950.0,0.95,20,20.0,-0.022276394711152253,1.3010299956639813,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00298,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,gracilis,Grey teal,488.75,488.75,0.48875,31.7,31.7,-0.31091322959607676,1.5010592622177514,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00299,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,laysanensis,Laysan duck,500,500.0,0.5,12,12.0,-0.3010299956639812,1.0791812460476249,wild,acceptable,576,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
