Class,Genus,Species,Common name,Mass_kg,Max_longevity_yr,log10M,log10T
Aves,Chen,canagica,Emperor goose,2.148,12.0,0.33203427702751803,1.0791812460476249
Aves,Chen,rossii,Ross's goose,1.715,22.5,0.2342641243787893,1.3521825181113625
Aves,Chenonetta,jubata,Maned duck,0.8125,9.1,-0.090176630349088,0.9590413923210935
Aves,Clangula,hyemalis,Oldsquaw,0.872,22.7,-0.059483515067432775,1.3560258571931227
Aves,Cygnus,atratus,Black swan,5.65,24.7,0.7520484478194386,1.3926969532596658
Aves,Cygnus,buccinator,Trumpeter swan,13.0,32.5,1.1139433523068367,1.5118833609788744
Aves,Cygnus,columbianus,Tundra swan,6.35,24.1,0.8027737252919757,1.3820170425748683
Aves,Cygnus,cygnus,Whooper swan,9.35,26.7,0.9708116108725178,1.4265112613645752
Aves,Cygnus,olor,Mute swan,8.3,40.0,0.919078092376074,1.6020599913279625
Aves,Dendrocygna,autumnalis,Black-bellied whistling duck,0.828,8.2,-0.08196966321511988,0.9138138523837167
Aves,Dendrocygna,bicolor,Fulvous whistling duck,0.7371,11.2,-0.13247358880025667,1.0492180226701815
Aves,Dendrocygna,viduata,White-faced whistling duck,0.61,12.0,-0.21467016498923297,1.0791812460476249
Aves,Histrionicus,histrionicus,Harlequin duck,0.56125,14.6,-0.2508436459886204,1.1643528557844371
Aves,Lophodytes,cucullatus,Hooded merganser,0.634375,15.7,-0.19765394040669304,1.1958996524092338
Aves,Melanitta,fusca,White-winged scoter,1.3608,21.4,0.1337943006045126,1.3304137733491908
Aves,Melanitta,nigra,Black scoter,1.0522,16.8,0.0220982974611403,1.2253092817258628
Aves,Melanitta,perspicillata,Surf scoter,1.0975,9.5,0.04040452891415895,0.9777236052888477
Aves,Mergellus,albellus,Smew,0.61,10.0,-0.21467016498923297,1.0
Aves,Mergus,merganser,Common merganser,1.445,14.8,0.15986784709256668,1.1702617153949575
Aves,Mergus,serrator,Red-breasted merganser,1.0206,21.3,0.00885556399621263,1.3283796034387378
Aves,Netta,rufina,Red-crested pochard,1.118,12.9,0.04844180355040453,1.110589710299249
Aves,Oxyura,australis,Blue-billed duck,0.798,16.0,-0.09799710864927054,1.2041199826559248
Aves,Oxyura,jamaicensis,Ruddy duck,0.542,20.0,-0.2660007134616131,1.3010299956639813
Aves,Plectropterus,gambensis,Spur-winged goose,3.869,11.3,0.587598729721245,1.0530784434834197
Aves,Polysticta,stelleri,Steller's eider,0.9072,23.0,-0.04229695845116863,1.3617278360175928
Aves,Somateria,fischeri,Spectacled eider,1.558,18.0,0.19256745333654568,1.255272505103306
Aves,Somateria,mollissima,Common eider,2.13,37.8,0.3283796034387377,1.5774917998372253
Aves,Somateria,spectabilis,King eider,1.617,18.9,0.20871001990640112,1.276461804173244
Aves,Tadorna,tadorna,Common shelduck,1.152,24.8,0.06145247908719321,1.3944516808262164
Aves,Tadorna,tadornoides,Australian shelduck,1.364,13.1,0.13481437032046015,1.1172712956557642
Aves,Anseranas,semipalmata,Magpie goose,2.071,24.8,0.3161800988934526,1.3944516808262164
Aves,Aegotheles,cristatus,Australian owlet-nightjar,0.044125,5.9,-1.355315281604121,0.7708520116421442
Aves,Aerodramus,terraereginae,Australian swiftlet,0.011875,9.3,-1.9253663817030957,0.9684829485539351
Aves,Aeronautes,saxatalis,White-throated swift,0.031,10.0,-1.5086383061657274,1.0
Aves,Apus,apus,Common swift,0.0376,21.1,-1.424812155072339,1.3242824552976926
Aves,Apus,melba,Alpine swift,0.1027,26.0,-0.9884295564027218,1.414973347970818
Aves,Chaetura,pelagica,Chimney swift,0.0228,15.0,-1.6420651529995463,1.1760912590556813
Aves,Cypseloides,niger,Black swift,0.045,16.1,-1.3467874862246563,1.2068258760318498
Aves,Amazilia,violiceps,Violet-crowned hummingbird,0.0050999999999999995,6.1,-2.2924298239020637,0.785329835010767
Aves,Amazilia,yucatanensis,Buff-bellied hummingbird,0.0039,11.2,-2.408935392973501,1.0492180226701815
Aves,Archilochus,alexandri,Black-chinned hummingbird,0.003,11.2,-2.5228787452803374,1.0492180226701815
Aves,Archilochus,colubris,Ruby-throated hummingbird,0.0031,9.1,-2.5086383061657274,0.9590413923210935
Aves,Calothorax,lucifer,Lucifer hummingbird,0.0033,4.1,-2.4814860601221125,0.6127838567197355
Aves,Calypte,anna,Anna's hummingbird,0.0044,8.5,-2.3565473235138126,0.9294189257142927
Aves,Calypte,costae,Costa's hummingbird,0.0031,6.0,-2.5086383061657274,0.7781512503836436
Aves,Cynanthus,latirostris,Broad-billed hummingbird,0.0033,8.8,-2.4814860601221125,0.9444826721501687
Aves,Eugenes,fulgens,Magnificent hummingbird,0.0081,11.0,-2.0915149811213505,1.041392685158225
Aves,Lampornis,clemenciae,Blue-throated hummingbird,0.0076,12.0,-2.1191864077192086,1.0791812460476249
Aves,Lamprolaima,rhami,Garnet-throated hummingbird,0.0078,8.0,-2.1079053973095196,0.9030899869919435
Aves,Selasphorus,platycercus,Broad-tailed hummingbird,0.004200000000000001,14.0,-2.376750709602099,1.146128035678238
Aves,Selasphorus,rufus,Rufous hummingbird,0.0035,8.9,-2.4559319556497243,0.9493900066449128
Aves,Stellula,calliope,Calliope hummingbird,0.0026,7.0,-2.585026652029182,0.8450980400142568
Aves,Apteryx,australis,Brown kiwi,2.6,35.0,0.414973347970818,1.5440680443502757
Aves,Buceros,bicornis,Great hornbill,2.7985,33.4,0.4469253112427487,1.5237464668115646
Aves,Bycanistes,subcylindricus,Grey-cheeked hornbill,1.25,31.8,0.09691001300805642,1.5024271199844328
Aves,Ceratogymna,atrata,Black-casqued hornbill,1.2035,19.3,0.0804460946110488,1.2855573090077739
Aves,Bucorvus,leadbeateri,Southern ground hornbill,3.7675,70.0,0.5760532609866694,1.845098040014257
Aves,Upupa,epops,Eurasian hoopoe,0.06709999999999999,11.1,-1.173277479831008,1.0453229787866574
Aves,Caprimulgus,carolinensis,Chuck-will's-widow,0.115,14.8,-0.9393021596463883,1.1702617153949575
Aves,Caprimulgus,europaeus,Eurasian nightjar,0.067,11.9,-1.1739251972991736,1.0755469613925308
Aves,Caprimulgus,ruficollis,Red-necked nightjar,0.0685,13.2,-1.1643094285075744,1.1205739312058498
Aves,Caprimulgus,vociferus,Whip-poor-will,0.054,15.0,-1.2676062401770314,1.1760912590556813
Aves,Chordeiles,minor,Common nighthawk,0.0793,10.0,-1.1007268126823961,1.0
Aves,Podargus,strigoides,Tawny frogmouth,0.349,17.9,-0.4571745730408201,1.252853030979893
Aves,Casuarius,bennetti,Dwarf cassowary,35.0,26.0,1.5440680443502757,1.414973347970818
Aves,Casuarius,casuarius,Southern cassowary,44.0,30.0,1.6434526764861874,1.4771212547196624
Aves,Casuarius,unappendiculatus,Northern cassowary,47.3,22.0,1.6748611407378116,1.3424226808222062
Aves,Dromaius,novaehollandiae,Emu,38.925,16.6,1.590228621240158,1.2201080880400552
Aves,Aethia,cristatella,Crested auklet,0.289,10.8,-0.5391021572434522,1.0334237554869496
Aves,Aethia,pusilla,Least auklet,0.096,8.1,-1.0177287669604316,0.9084850188786497
Aves,Aethia,pygmaea,Whiskered auklet,0.12,15.0,-0.9208187539523752,1.1760912590556813
Aves,Alca,torda,Razorbill,0.726,42.0,-0.1390633792999063,1.6232492903979006
Aves,Brachyramphus,marmoratus,Marbled murrelet,0.222,10.0,-0.6536470255493614,1.0
Aves,Cepphus,columba,Pigeon guillemot,0.4838,15.2,-0.3153341359741391,1.1818435879447726
Aves,Cepphus,grylle,Black guillemot,0.4275,29.9,-0.36906388093580855,1.4756711883244296
Aves,Cerorhinca,monocerata,Rhinoceros auklet,0.5441,28.2,-0.2643212740940954,1.4502491083193612
Aves,Fratercula,arctica,Atlantic puffin,0.4905,45.0,-0.3093609882840327,1.6532125137753437
Aves,Ptychoramphus,aleuticus,Cassin's auklet,0.184,16.2,-0.7351821769904635,1.209515014542631
Aves,Synthliboramphus,hypoleucus,Xantus' murrelet,0.167,15.0,-0.7772835288524167,1.1760912590556813
Aves,Uria,aalge,Common murre,0.992,42.8,-0.0034883278458213473,1.631443769013172
Aves,Uria,lomvia,Thick-billed murre,0.964,29.0,-0.015922966097169238,1.462397997898956
Aves,Burhinus,grallarius,Bush stone-curlew,0.667967,5.5,-0.1752449927219341,0.7403626894942439
Aves,Burhinus,oedicnemus,Eurasian thick-knee,0.459,17.9,-0.33818731446273875,1.252853030979893
Aves,Charadrius,alexandrinus,Snowy plover,0.037,19.0,-1.431798275933005,1.2787536009528289
