Class,Genus,Species,Common_name,Mass_kg,Max_longevity_yr,Data_quality,Specimen_origin,Mass_source,Longevity_source
Aves,Apus,melba,Alpine swift,0.1027,26.0,acceptable,wild,AnAge,AnAge
Aves,Chaetura,pelagica,Chimney swift,0.0228,15.0,acceptable,wild,AnAge,AnAge
Aves,Cypseloides,niger,Black swift,0.045,16.1,acceptable,wild,AnAge,AnAge
Aves,Amazilia,violiceps,Violet-crowned hummingbird,0.0050999999999999995,6.1,acceptable,wild,AnAge,AnAge
Aves,Amazilia,yucatanensis,Buff-bellied hummingbird,0.0039,11.2,acceptable,wild,AnAge,AnAge
Aves,Archilochus,alexandri,Black-chinned hummingbird,0.003,11.2,acceptable,wild,AnAge,AnAge
Aves,Archilochus,colubris,Ruby-throated hummingbird,0.0031,9.1,acceptable,wild,AnAge,AnAge
Aves,Calothorax,lucifer,Lucifer hummingbird,0.0033,4.1,acceptable,wild,AnAge,AnAge
Aves,Calypte,anna,Anna's hummingbird,0.0044,8.5,acceptable,wild,AnAge,AnAge
Aves,Calypte,costae,Costa's hummingbird,0.0031,6.0,acceptable,unknown,AnAge,AnAge
Aves,Cynanthus,latirostris,Broad-billed hummingbird,0.0033,8.8,acceptable,wild,AnAge,AnAge
Aves,Eugenes,fulgens,Magnificent hummingbird,0.0081,11.0,acceptable,wild,AnAge,AnAge
Aves,Lampornis,clemenciae,Blue-throated hummingbird,0.0076,12.0,acceptable,unknown,AnAge,AnAge
Aves,Lamprolaima,rhami,Garnet-throated hummingbird,0.0078,8.0,acceptable,wild,AnAge,AnAge
Aves,Selasphorus,platycercus,Broad-tailed hummingbird,0.004200000000000001,14.0,acceptable,unknown,AnAge,AnAge
Aves,Selasphorus,rufus,Rufous hummingbird,0.0035,8.9,acceptable,wild,AnAge,AnAge
Aves,Stellula,calliope,Calliope hummingbird,0.0026,7.0,acceptable,wild,AnAge,AnAge
Aves,Apteryx,australis,Brown kiwi,2.6,35.0,acceptable,captivity,AnAge,AnAge
Aves,Buceros,bicornis,Great hornbill,2.7985,33.4,acceptable,captivity,AnAge,AnAge
Aves,Bycanistes,subcylindricus,Grey-cheeked hornbill,1.25,31.8,acceptable,captivity,AnAge,AnAge
Aves,Ceratogymna,atrata,Black-casqued hornbill,1.2035,19.3,acceptable,captivity,AnAge,AnAge
Aves,Bucorvus,leadbeateri,Southern ground hornbill,3.7675,70.0,acceptable,captivity,AnAge,AnAge
Aves,Upupa,epops,Eurasian hoopoe,0.06709999999999999,11.1,acceptable,wild,AnAge,AnAge
