HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Adult weight (g),Maximum longevity (yrs),Specimen origin,Data quality,Source
00391,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Ceratogymna,atrata,Black-casqued hornbill,1203.5,19.3,captivity,acceptable,575
00392,Animalia,Chordata,Aves,Bucerotiformes,Bucorvidae,Bucorvus,leadbeateri,Southern ground hornbill,3767.5,70,captivity,acceptable,1
00393,Animalia,Chordata,Aves,Bucerotiformes,Upupidae,Upupa,epops,Eurasian hoopoe,67.1,11.1,wild,acceptable,729
00394,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,carolinensis,Chuck-will's-widow,115,14.8,wild,acceptable,445
00395,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,europaeus,Eurasian nightjar,67,11.9,wild,acceptable,450
00396,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,ruficollis,Red-necked nightjar,68.5,13.2,wild,acceptable,0450
00397,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,vociferus,Whip-poor-will,54,15,wild,acceptable,445
00398,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Common nighthawk,79.3,10,wild,acceptable,427
00401,Animalia,Chordata,Aves,Caprimulgiformes,Podargidae,Podargus,strigoides,Tawny frogmouth,349,17.9,wild,acceptable,1305
00402,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,bennetti,Dwarf cassowary,35000,26,captivity,acceptable,575
00404,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,unappendiculatus,Northern cassowary,47300,22,captivity,acceptable,575
00405,Animalia,Chordata,Aves,Casuariiformes,Dromaiidae,Dromaius,novaehollandiae,Emu,38925,16.6,captivity,acceptable,1
00406,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,cristatella,Crested auklet,289,10.8,wild,acceptable,427
00407,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,pusilla,Least auklet,96,8.1,wild,acceptable,427
00408,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,pygmaea,Whiskered auklet,120,15,wild,acceptable,427
00409,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,torda,Razorbill,726,42,wild,acceptable,450
00410,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,marmoratus,Marbled murrelet,222,10,wild,acceptable,427
00411,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,columba,Pigeon guillemot,483.8,15.2,wild,acceptable,427
00412,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,grylle,Black guillemot,427.5,29.9,wild,acceptable,450
00413,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cerorhinca,monocerata,Rhinoceros auklet,544.1,28.2,wild,acceptable,427
00414,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,arctica,Atlantic puffin,490.5,45,wild,acceptable,0450
00415,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Ptychoramphus,aleuticus,Cassin's auklet,184,16.2,wild,acceptable,0427
00417,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Synthliboramphus,hypoleucus,Xantus' murrelet,167,15,wild,acceptable,1
00418,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,aalge,Common murre,992,42.8,wild,acceptable,450
00419,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,lomvia,Thick-billed murre,964,29,wild,acceptable,427
00421,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,oedicnemus,Eurasian thick-knee,459,17.9,wild,acceptable,450
00422,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,alexandrinus,Snowy plover,37,19,wild,acceptable,450
00423,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,bicinctus,Double-banded plover,59.4,18.3,wild,acceptable,1305
